Protocolo_S2iD,Nome_Municipio,Sigla_UF,regiao,Data_Registro,Data_Evento,Cod_Cobrade,tipologia,descricao_tipologia,grupo_de_desastre,Cod_IBGE_Mun,Setores Censitários,Status,DH_Descricao,DH_MORTOS,DH_FERIDOS,DH_ENFERMOS,DH_DESABRIGADOS,DH_DESALOJADOS,DH_DESAPARECIDOS,DH_AFETADOS_SECA_ESTIAGEM,DH_total_danos_humanos_diretos,DH_OUTROS AFETADOS,DM_Descricao,DM_Uni Habita Danificadas,DM_Uni Habita Destruidas,DM_Uni Habita Valor,DM_Inst Saúde Danificadas,DM_Inst Saúde Destruidas,DM_Inst Saúde Valor,DM_Inst Ensino Danificadas,DM_Inst Ensino Destruidas,DM_Inst Ensino Valor,DM_Inst Serviços Danificadas,DM_Inst Serviços Destruidas,DM_Inst Serviços Valor,DM_Inst Comuni Danificadas,DM_Inst Comuni Destruidas,DM_Inst Comuni Valor,DM_Obras de Infra Danificadas,DM_Obras de Infra Destruidas,DM_Obras de Infra Valor,DM_total_danos_materiais,DA_Descricao,DA_Polui/cont da água,DA_Polui/cont do ar,DA_Polui/cont do solo,DA_Dimi/exauri hídrico,DA_Incêndi parques/APA's/APP's,PEPL_Descricao,PEPL_Assis_méd e emergên(R$),PEPL_Abast de água pot(R$),PEPL_sist de esgotos sanit(R$),PEPL_Sis limp e rec lixo (R$),PEPL_Sis cont pragas (R$),PEPL_distrib energia (R$),PEPL_Telecomunicações (R$),PEPL_Tran loc/reg/l_curso (R$),PEPL_Distrib combustíveis(R$),PEPL_Segurança pública (R$),PEPL_Ensino (R$),PEPL_total_publico,PEPR_Descricao,PEPR_Agricultura (R$),PEPR_Pecuária (R$),PEPR_Indústria (R$),PEPR_Comércio (R$),PEPR_Serviços (R$),PEPR_total_privado,PE_PLePR
SC-A-4212403-12200-19960119,Pedras Grandes,SC,Sul,19/01/1996,19/01/1996,12200,"2,00",Enxurradas,Hidrológico,4212403,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,"7455664,16","0,00","0,00","0,00","0,00","7455664,16","7455664,16"
RN-A-2405702-14110-20080107,Jardim do Seridó,RN,Nordeste,07/01/2008,07/01/2008,14110,"4,00",Estiagem e Seca,Climatológico,2405702,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",,,,,,,,"0,00","233834,90","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","233834,90",,"599201,94","4983606,36","46766,98","0,00","0,00","5629575,27","5863410,18"
GO-A-5208905-12200-20110110,Goiás,GO,Centro-oeste,10/01/2011,10/01/2011,12200,"2,00",Enxurradas,Hidrológico,5208905,,Reconhecido,,0,0,0,0,123,0,0,123,0,,45,2,"11926073,59",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",24,0,"22075923,46","34001997,05",,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","1522477,48","0,00","0,00","0,00","1522477,48",,"0,00","0,00","0,00","0,00","3806,19","3806,19","1526283,67"
RS-F-4310504-12200-20170531,Iraí,RS,Sul,06/06/2017,31/05/2017,12200,"2,00",Enxurradas,Hidrológico,4310504,"431050405000012, 431050405000013, 431050405000014, 431050405000015, 431050405000011, 431050405000010, 431050405000009, 431050405000008, 431050405000016, 431050405000007, 431050405000005, 431050405000004, 431050405000018, 431050405000006, 431050405000020, 431050405000003",Reconhecido,"em virtude da enxurrada houve dano na infra estrutura do interior (ponte, boeiros e estrada) oque prejudicou o transporte de pessoas e de cargas, inclusive interrompendo o transporte escolar, na área urbana atingida em virtude do aumento das águas do rio do mel muitas familias tiveram a casa invadida e necessitam ir para casa de parentes ou abrigos municipais.",0,0,0,33,189,0,0,222,4800,"na área rural varias pontes e pontilhões, bueiros foram danificados principalmente nas localidade da berra da corticeira, são Pedro, são Miguel do paredão e barra do tamanduá. 
Inclusive causando a suspensão das aulas na áreas rural 1 e 2 de junho, pela impossibilidade do transporte escolar chegar a alguns pontos e administração municipal realizou obras emergenciais visando a limpeza e restabelecendo vias no inte",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"1211415,04","1211415,04",Nada a informar,,,,,,"O dano principal foi no interior causado pela enxurrada onde pontes, bueiros e estradas foram danificadas, prejudicando o transporte local e houve a intervenção da administração na recuperação parcial.","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1211415,04","0,00","0,00","0,00","1211415,04","Considera-se como prejuízo na agricultura o valor de 800.000,00, em respeito a postagem e a erosão do solo no leite 720.000,00 o prejuízo esta diretamente ligado a redução de alimentos pois as chuvas impossibilitarão a entrada de animais nas áreas de pastagem o recolhimento do leite dos produtores.","1451328,75","1306195,87","0,00","0,00","0,00","2757524,62","3968939,66"
BA-F-2932002-12200-20131218,Uauá,BA,Nordeste,18/12/2013,18/12/2013,12200,"2,00",Enxurradas,Hidrológico,2932002,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
BA-F-2921203-14110-20231124,Miguel Calmon,BA,Nordeste,05/12/2023,24/11/2023,14110,"4,00",Estiagem e Seca,Climatológico,2921203,"292120305000033, 292120305000045, 292120305000031, 292120305000030, 292120305000036, 292120305000029, 292120305000032, 292120305000023, 292120305000024, 292120305000016, 292120305000037, 292120305000017, 292120305000026, 292120305000015, 292120305000028, 292120305000034, 292120305000022, 292120305000027, 292120305000021, 292120305000025, 292120305000020, 292120310000003, 292120310000004, 292120310000005, 292120310000002, 292120315000004, 292120315000003, 292120315000002, 292120315000005, 292120305000019, 292120305000018, 292120315000007, 292120315000001, 292120310000006, 292120310000001, 292120305000011, 292120305000039, 292120305000013, 292120305000012, 292120305000040, 292120305000014, 292120305000004, 292120305000041, 292120305000003, 292120305000010, 292120305000002, 292120305000009, 292120305000007, 292120305000042, 292120305000044, 292120305000006, 292120305000001, 292120305000008, 292120305000038, 292120305000043",Registro,"População afetada direta e indiretamente pelo desabastecimento de agua potável, perdas na agricultura  e pecuária. ",0,0,0,0,0,0,2790,2790,2790,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00","A falta de água nas localidade da zona rural. Os mananciais, rios, poços artesianos e açudes estão abaixo da capacidade, muitos estão exaurindo ou já exauriram. ",,,,DE 10% A 20% DA POPULAÇÃO AFETADA,,"O município em resposta a situação adversa, esta fornecendo o abastecendo de agua potável para os povoados e comunidades através dos caminhões pipas. ","0,00","165342,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","165342,60",Os valores apresentados tem como referencia perdas na Agricultura e Pecuária conforme nota técnica da BAHIATER. ,"10686234,16","21372468,32","0,00","0,00","0,00","32058702,48","32224045,08"
MT-F-5106307-14131-20200616,Paranatinga,MT,Centro-oeste,16/06/2020,16/06/2020,14131,"6,00",Incêndio Florestal,Climatológico,5106307,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
BA-F-2930402-14110-20230717,Serra Preta,BA,Nordeste,17/07/2023,17/07/2023,14110,"4,00",Estiagem e Seca,Climatológico,2930402,"293040205000013, 293040205000016, 293040205000017, 293040205000018, 293040205000009, 293040205000011, 293040205000012, 293040205000010, 293040205000002, 293040205000035, 293040205000008, 293040205000007, 293040205000006, 293040205000021, 293040205000022, 293040205000019, 293040205000032, 293040205000033, 293040205000024, 293040205000025, 293040205000034, 293040205000026, 293040205000015, 293040205000030, 293040205000027, 293040205000031, 293040205000039, 293040205000029, 293040205000005, 293040205000004, 293040205000014, 293040205000003, 293040205000001, 293040205000028, 293040205000023",Reconhecido,"De acordo com os dados do IBGE e do parecer social. aproximadamente 55% da população dos municípios sofrem com a estiagem e dependem de caminhão pipa para abastecimento de água potável, o que corresponde aproximadamente 8481 pessoas.",0,0,0,0,0,0,8481,8481,8481,Não houve danos.,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00","As barragens da região encontram-se com 15% de sua capacidade e as águas acumuladas em açudes estão em níveis baixos, além disso, 
por estarem com níveis baixos estão impróprias para consumo humano. Com perdas na produção de milho e feijão.",,,,MAIS DE 20% DA POPULAÇÃO AFETADA,,"A falta de água potável para consumo humano, a qual ocasionou exaurimento hídrico e prejuízo econômico no setor público de 42.900,00 
até o momento. As chuvas que ocorreram não foram suficientes para suprir a necessidade de toda a população e a precariedade dos 
recursos financeiros de que dispõe o Município para prestar socorro às famílias prejudicadas, não é suficiente para atender a demanda de 
abastecimento de água potável. Além disso, a demanda de água nos setor agropecuário é alta e com a estiagem o armazenamento d'água 
não foi suficiente devido a redução de chuvas no período, o que causou baixos índices de água nos reservatórios.","0,00","45843,94","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","45843,94","A falta de água e a escassez de chuvas afetaram o setor agropecuário em várias regiões do município, com prejuízos chegando a 
1.394.550,00 (um milhão, trezentos e noventa e quatro e quinhentos e cinquenta mil reais) para agricultura e 1.650.000,00 (um milhão, 
seiscentos e cinquenta mil reais ) para pecuária, de acordo com a nota técnica da BAHIATER.","1490248,78","1763228,64","0,00","0,00","0,00","3253477,42","3299321,37"
RN-A-2406155-14110-20060216,Jundiá,RN,Nordeste,16/02/2006,16/02/2006,14110,"4,00",Estiagem e Seca,Climatológico,2406155,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",,,,,,,,"10321,45","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","10321,45","20642,90",,"206429,01","550477,37","34404,84","0,00","0,00","791311,21","811954,12"
PI-A-2200509-14110-20120523,Amarante,PI,Nordeste,23/05/2012,23/05/2012,14110,"4,00",Estiagem e Seca,Climatológico,2200509,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",,,,,,,,"0,00","1105156,37","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1105156,37",,"16713494,87","0,00","0,00","0,00","0,00","16713494,87","17818651,25"
